Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1397952k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.922: [GC (Allocation Failure) 0.922: [ParNew: 39177K->4350K(39296K), 0.0076794 secs] 704769K->680848K(716616K), 0.0077420 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
0.935: [GC (Allocation Failure) 0.935: [ParNew: 39294K->4335K(39296K), 0.0073376 secs] 715792K->691818K(727564K), 0.0074030 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.948: [GC (Allocation Failure) 0.948: [ParNew: 39279K->4343K(39296K), 0.0086949 secs] 726762K->703673K(739404K), 0.0087878 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
0.961: [GC (Allocation Failure) 0.961: [ParNew: 39028K->4350K(39296K), 0.0084789 secs] 738358K->715689K(751460K), 0.0085552 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.975: [GC (Allocation Failure) 0.975: [ParNew: 39232K->4338K(39296K), 0.0085493 secs] 750572K->727713K(763508K), 0.0086124 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
0.988: [GC (Allocation Failure) 0.988: [ParNew: 39061K->4344K(39296K), 0.0087646 secs] 762436K->740554K(776256K), 0.0088295 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
1.003: [GC (Allocation Failure) 1.003: [ParNew: 39288K->4337K(39296K), 0.0095325 secs] 775498K->752255K(788116K), 0.0095930 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
1.017: [GC (Allocation Failure) 1.017: [ParNew: 39275K->4347K(39296K), 0.0090525 secs] 787193K->765121K(800868K), 0.0091136 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
1.031: [GC (Allocation Failure) 1.031: [ParNew: 39096K->4346K(39296K), 0.0109811 secs] 799870K->781517K(817252K), 0.0110458 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
1.047: [GC (Allocation Failure) 1.047: [ParNew: 39275K->4340K(39296K), 0.0078371 secs] 816446K->792529K(828328K), 0.0079006 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
1.061: [GC (Allocation Failure) 1.061: [ParNew: 39284K->4343K(39296K), 0.0067178 secs] 827473K->801452K(837336K), 0.0067968 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.073: [GC (Allocation Failure) 1.073: [ParNew: 39281K->4347K(39296K), 0.0135101 secs] 836391K->815992K(851744K), 0.0135887 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
1.093: [GC (Allocation Failure) 1.093: [ParNew: 39290K->4351K(39296K), 0.0076255 secs] 850934K->826548K(862348K), 0.0076864 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
Heap
 par new generation   total 39296K, used 6279K [0x0000000740000000, 0x0000000742aa0000, 0x0000000754cc0000)
  eden space 34944K,   5% used [0x0000000740000000, 0x00000007401e20c0, 0x0000000742220000)
  from space 4352K,  99% used [0x0000000742660000, 0x0000000742a9fc90, 0x0000000742aa0000)
  to   space 4352K,   0% used [0x0000000742220000, 0x0000000742220000, 0x0000000742660000)
 concurrent mark-sweep generation total 823052K, used 822197K [0x0000000754cc0000, 0x0000000787083000, 0x00000007c0000000)
 Metaspace       used 2695K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 295K, capacity 386K, committed 512K, reserved 1048576K
